,imdb_rank,Title,Year,Countries,Budget,Opening Weekend United States,Rating,Cumulative Worldwide Gross
3398228,84,BoJack Horseman,2014.0,United States,,,8.6,
9398640,85,Between Two Ferns: The Movie,2019.0,United States,,,6.1,
4513678,86,Ghostbusters 2020,2020.0,United States,,,,
7139936,87,A Rainy Day in New York,2019.0,United States,,,6.9,
1826940,88,New Girl,2011.0,United States,,,7.7,
0448115,89,Shazam!,2019.0,"United States,Canada","$100,000,000 (estimated)","$53,505,326, 07 Apr 2019",7.1,"$364,293,925, 14 Jul 2019"
2139881,90,Long Shot,2019.0,United States,"$40,000,000 (estimated)","$9,740,064, 05 May 2019",6.9,"$46,514,981, 20 Jun 2019"
3501632,91,Thor: Ragnarok,2017.0,United States,"$180,000,000 (estimated)","$122,744,989, 05 Nov 2017",7.9,"$853,977,126"
4477976,92,Superstore,2015.0,United States,,,7.8,
0085794,93,The King of Comedy,1982.0,United States,"$20,000,000 (estimated)",,7.8,
7146812,94,Onward,2020.0,United States,,,,
2660806,95,Mom,2013.0,United States,,,7.2,
2575988,96,Silicon Valley,2014.0,United States,,,8.5,
5727208,97,Uncut Gems,2019.0,United States,,,7.9,
5363918,98,Disenchantment,2018.0,United States,,,7.2,
7040874,99,A Simple Favor,2018.0,"Canada,United States","$20,000,000 (estimated)",,6.8,"$97,644,617, 22 Nov 2018"
1561755,100,Bob's Burgers,2011.0,United States,,,8.1,
