,imdb_rank,Title,Year,Countries,Budget,Cumulative Worldwide Gross,Opening Weekend United States,Rating
0377092,52,Mean Girls,2004.0,"United States,Canada","$17,000,000 (estimated)","$129,042,871","$24,432,195, 02 May 2004",7.0
1596363,53,The Big Short,2015.0,United States,"$28,000,000 (estimated)","$133,346,506","$10,531,026, 23 Dec 2015",7.8
2194499,54,About Time,2013.0,United Kingdom,"$12,000,000 (estimated)","$87,100,449",,7.8
4463894,55,Shaft,2019.0,United States,"$30,000,000 (estimated)",,"$8,901,419, 16 Jun 2019",6.4
0365748,56,Shaun of the Dead,2004.0,"United Kingdom,France","GBP4,000,000 (estimated)","$30,039,392",,7.9
0093437,57,The Lost Boys,1987.0,United States,,,"$5,200,000, 02 Aug 1987",7.3
0118715,58,The Big Lebowski,1998.0,"United States,United Kingdom","$15,000,000 (estimated)","$46,189,568","$5,533,844, 08 Mar 1998",8.1
0364725,59,Dodgeball: A True Underdog Story,2004.0,United States,"$20,000,000 (estimated)","$167,722,310","$30,070,196, 20 Jun 2004",6.7
0088930,60,Clue,1985.0,United States,"$15,000,000 (estimated)",,"$2,014,000, 15 Dec 1985",7.3
1791528,61,Inherent Vice,2014.0,United States,"$20,000,000 (estimated)","$14,710,975","$2,773,260, 24 Feb 2015",6.7
0147800,62,10 Things I Hate About You,1999.0,United States,"$30,000,000 (estimated)",,"$8,330,681, 04 Apr 1999",7.3
0175142,63,Scary Movie,2000.0,United States,"$19,000,000 (estimated)","$278,019,771","$42,346,669, 09 Jul 2000",6.2
6513120,64,Fighting with My Family,2019.0,"United Kingdom,United States",,"$39,058,583, 23 May 2019",,7.1
0163651,65,American Pie,1999.0,United States,"$11,000,000 (estimated)","$132,922,000","$18,709,680, 11 Jul 1999",7.0
1119646,66,The Hangover,2009.0,"United States,Germany","$35,000,000 (estimated)","$467,483,912, 17 Dec 2009","$44,979,319, 07 Jun 2009",7.7
0114709,67,Toy Story,1995.0,United States,"$30,000,000 (estimated)","$373,554,033","$12,491,789, 04 Oct 2009",8.3
0332379,68,School of Rock,2003.0,"United States,Germany","$35,000,000 (estimated)","$131,282,949","$19,622,714, 05 Oct 2003",7.1
0267913,69,Scooby-Doo,2002.0,"United States,Australia","$84,000,000 (estimated)","$99,000,000, 25 Aug 2002","$54,155,312, 16 Jun 2002",5.0
3416742,70,What We Do in the Shadows,2014.0,New Zealand,"$1,600,000 (estimated)",,,7.7
0096874,71,Back to the Future Part II,1989.0,United States,"$40,000,000 (estimated)",,"$27,835,125, 26 Nov 1989",7.8
2278388,72,The Grand Budapest Hotel,2014.0,"Germany,United States","$25,000,000 (estimated)","$174,600,318",,8.1
0305357,73,Charlie's Angels: Full Throttle,2003.0,United States,"$120,000,000 (estimated)","$158,345,677","$37,634,221, 29 Jun 2003",4.9
2562232,74,Birdman or (The Unexpected Virtue of Ignorance),2014.0,United States,"$18,000,000 (estimated)","$103,215,094","$2,471,471, 10 Jan 2015",7.7
